time,Cr_at_center,Cr_at_surface,defect_max
720,0.20000002846267,0.17,9.84448e-08
730,0.19999996783573,0.17,9.98107e-08
740,0.19999989166113,0.17,1.011766e-07
750,0.19999979836083,0.17,1.025425e-07
760,0.19999968632281,0.17,1.039084e-07
770,0.19999955390568,0.17,1.052743e-07
780,0.19999939944318,0.17,1.066402e-07
790,0.19999922124859,0.17,1.080061e-07
800,0.19999901761902,0.17,1.09372e-07
810,0.19999878683955,0.17,1.107379e-07
820,0.19999852718724,0.17,1.121038e-07
830,0.19999823693491,0.17,1.134697e-07
840,0.19999791435486,0.17,1.148356e-07
850,0.19999755772234,0.17,1.162015e-07
860,0.19999716531888,0.17,1.175674e-07
870,0.19999673543543,0.17,1.189333e-07
880,0.1999962663753,0.17,1.202992e-07
890,0.19999575645698,0.17,1.216651e-07
900,0.19999520401671,0.17,1.23031e-07
910,0.19999460741097,0.17,1.243969e-07
920,0.19999396501866,0.17,1.257628e-07
930,0.19999327524328,0.17,1.271287e-07
940,0.1999925365148,0.17,1.284946e-07
950,0.19999174729144,0.17,1.298605e-07
960,0.19999090606133,0.17,1.312264e-07
970,0.19999001134392,0.17,1.325923e-07
980,0.19998906169134,0.17,1.339582e-07
990,0.19998805568957,0.17,1.353241e-07
1000,0.19998699195952,0.17,1.3669e-07
1010,0.19998586915794,0.17,1.380559e-07
1020,0.19998468597821,0.17,1.394218e-07
1030,0.19998344115109,0.17,1.407877e-07
1040,0.19998213344526,0.17,1.421536e-07
1050,0.19998076166781,0.17,1.435195e-07
1060,0.19997932466467,0.17,1.448854e-07
1070,0.19997782132082,0.17,1.462513e-07
1080,0.1999762505606,0.17,1.476172e-07
1090,0.19997461134776,0.17,1.489831e-07
1100,0.19997290268556,0.17,1.50349e-07
1110,0.19997112361672,0.17,1.517149e-07
1120,0.19996927322336,0.17,1.530808e-07
1130,0.19996735062684,0.17,1.544467e-07
1140,0.19996535498756,0.17,1.558126e-07
1150,0.19996328550472,0.17,1.571785e-07
1160,0.199961141416,0.17,1.585444e-07
1170,0.19995892199718,0.17,1.599103e-07
1180,0.19995662656184,0.17,1.612762e-07
1190,0.19995425446082,0.17,1.626421e-07
1200,0.19995180508186,0.17,1.64008e-07
1210,0.19994927784902,0.17,1.653739e-07
1220,0.19994667222222,0.17,1.667398e-07
1230,0.19994398769666,0.17,1.681057e-07
1240,0.19994122380227,0.17,1.694716e-07
1250,0.1999383801031,0.17,1.708375e-07
1260,0.19993545619674,0.17,1.722034e-07
1270,0.19993245171366,0.17,1.735693e-07
1280,0.19992936631661,0.17,1.749352e-07
1290,0.19992619969996,0.17,1.763011e-07
1300,0.19992295158904,0.17,1.77667e-07
1310,0.19991962173947,0.17,1.790329e-07
1320,0.1999162099365,0.17,1.803988e-07
1330,0.19991271599435,0.17,1.817647e-07
1340,0.1999091397555,0.17,1.831306e-07
1350,0.19990548109002,0.17,1.844965e-07
1360,0.19990173989491,0.17,1.858624e-07
1370,0.1998979160934,0.17,1.872283e-07
1380,0.1998940096343,0.17,1.885942e-07
1390,0.19989002049127,0.17,1.899601e-07
1400,0.19988594866221,0.17,1.91326e-07
1410,0.19988179416857,0.17,1.926919e-07
1420,0.19987755705466,0.17,1.940578e-07
1430,0.19987323738704,0.17,1.954237e-07
